program_name_and_version,EnergyPlus 25.2.0
program_version_release_date,11/14/25
program_name_short,E+
results_submission_date,6/9/26
organization,National Laboratory of the Rockies
organization_short,NLR
CE120 feb_max_humidity_ratio,0.00793847
CE120 feb_min_cop,3.59696
CE120 feb_min_idb,26.7001
CE120 feb_min_humidity_ratio,0.00793847
CE130 clg_energy_consumption_total,108.192
CE130 clg_energy_consumption_supply_fan,10.2208
CE130 evaporator_coil_load_total,215.914
CE130 evaporator_coil_load_sensible,215.914
CE130 evaporator_coil_load_latent,-8.38E-16
CE130 zone_load_total,205.694
CE130 zone_load_sensible,205.694
CE130 zone_load_latent,2.54E-14
CE130 feb_mean_cop,1.90119
CE130 feb_mean_idb,22.2001
CE130 feb_mean_humidity_ratio,0.00740283
CE130 feb_max_cop,1.90354
CE130 feb_max_idb,22.2001
CE130 feb_max_humidity_ratio,0.00740283
CE130 feb_min_cop,1.89526
CE130 feb_min_idb,22.2001
CE130 feb_min_humidity_ratio,0.00740283
CE140 clg_energy_consumption_total,67.8183
CE140 clg_energy_consumption_supply_fan,8.09428
CE140 evaporator_coil_load_total,195.78
CE140 evaporator_coil_load_sensible,195.78
CE140 evaporator_coil_load_latent,-3.41E-16
CE140 zone_load_total,187.686
CE140 zone_load_sensible,187.686
CE140 zone_load_latent,2.05E-14
CE140 feb_mean_cop,2.76748
CE140 feb_mean_idb,22.2001
CE140 feb_mean_humidity_ratio,0.00651125
CE140 feb_max_cop,2.77082
CE140 feb_max_idb,22.2001
CE140 feb_max_humidity_ratio,0.00651125
CE140 feb_min_cop,2.76103
CE140 feb_min_idb,22.2001
CE140 feb_min_humidity_ratio,0.00651125
CE150 clg_energy_consumption_total,1197.89
CE150 clg_energy_consumption_supply_fan,140.399
CE150 evaporator_coil_load_total,4508.3
CE150 evaporator_coil_load_sensible,3769.1
CE150 evaporator_coil_load_latent,739.201
CE150 zone_load_total,4367.9
CE150 zone_load_sensible,3635.05
CE150 zone_load_latent,732.856
CE150 feb_mean_cop,3.64634
CE150 feb_mean_idb,22.2
CE150 feb_mean_humidity_ratio,0.00835608
CE150 feb_max_cop,3.65078
CE150 feb_max_idb,22.2
CE150 feb_max_humidity_ratio,0.00837669
CE150 feb_min_cop,3.641
CE150 feb_min_idb,22.2
CE150 feb_min_humidity_ratio,0.00828467
CE160 clg_energy_consumption_total,1132.54
CE160 clg_energy_consumption_supply_fan,128.44
CE160 evaporator_coil_load_total,4490.51
CE160 evaporator_coil_load_sensible,3751.3
CE160 evaporator_coil_load_latent,739.2
CE160 zone_load_total,4362.07
CE160 zone_load_sensible,3629.9
CE160 zone_load_latent,732.167
CE160 feb_mean_cop,3.85158
CE160 feb_mean_idb,26.7
